央视频道,#genre#
西藏卫视,http://111.12.102.79:6610/PLTV/77777777/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河南卫视,http://111.12.102.79:6610/PLTV/77777777/224/3221225806/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山东教育卫视,http://111.12.102.79:6610/PLTV/77777777/224/3221225708/index.m3u8?servicetype=1&IASHttpSessionId=OTT
嘉佳卡通,http://111.12.102.79:6610/PLTV/77777777/224/3221225797/index.m3u8?servicetype=1&IASHttpSessionId=OTT
优漫卡通,http://111.12.102.79:6610/PLTV/77777777/224/3221225791/index.m3u8?servicetype=1&IASHttpSessionId=OTT
精品体育,http://111.12.102.79:6610/PLTV/77777777/224/3221225724/index.m3u8?servicetype=1&IASHttpSessionId=OTT
爱情喜剧,http://111.12.102.79:6610/PLTV/77777777/224/3221225698/index.m3u8?servicetype=1&IASHttpSessionId=OTT
哈哈炫动,http://111.12.102.79:6610/PLTV/77777777/224/3221225711/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CETV4,http://111.12.102.79:6610/PLTV/77777777/224/3221225723/index.m3u8?servicetype=1&IASHttpSessionId=OTT
军旅剧场,http://111.12.102.79:6610/PLTV/77777777/224/3221225727/index.m3u8?servicetype=1&IASHttpSessionId=OTT
电视剧3,http://111.12.102.79:6610/PLTV/77777777/224/3221225733/index.m3u8?servicetype=1&IASHttpSessionId=OTT
黑莓电影,http://111.12.102.79:6610/PLTV/77777777/224/3221225740/index.m3u8?servicetype=1&IASHttpSessionId=OTT
家庭剧场,http://111.12.102.79:6610/PLTV/77777777/224/3221225743/index.m3u8?servicetype=1&IASHttpSessionId=OTT
军事评论,http://111.12.102.79:6610/PLTV/77777777/224/3221225749/index.m3u8?servicetype=1&IASHttpSessionId=OTT
惊悚悬疑,http://111.12.102.79:6610/PLTV/77777777/224/3221225746/index.m3u8?servicetype=1&IASHttpSessionId=OTT
金牌综艺,http://111.12.102.79:6610/PLTV/77777777/224/3221225755/index.m3u8?servicetype=1&IASHttpSessionId=OTT
哒啵赛事,http://111.12.102.79:6610/PLTV/77777777/224/3221225758/index.m3u8?servicetype=1&IASHttpSessionId=OTT
电视剧4,http://111.12.102.79:6610/PLTV/77777777/224/3221225763/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CETV1,http://111.12.102.79:6610/PLTV/77777777/224/3221225776/index.m3u8?servicetype=1&IASHttpSessionId=OTT
纯享4K,http://111.12.102.79:6610/PLTV/77777777/224/3221225726/index.m3u8?servicetype=1&IASHttpSessionId=OTT
KAKU少儿,http://111.12.102.79:6610/PLTV/77777777/224/3221225730/index.m3u8?servicetype=1&IASHttpSessionId=OTT
金鹰纪实,http://111.12.102.79:6610/PLTV/77777777/224/3221225699/index.m3u8?servicetype=1&IASHttpSessionId=OTT
金鹰卡通,http://111.12.102.79:6610/PLTV/77777777/224/3221225702/index.m3u8?servicetype=1&IASHttpSessionId=OTT
精品记录,http://111.12.102.79:6610/PLTV/77777777/224/3221225681/index.m3u8?servicetype=1&IASHttpSessionId=OTT
IPTV1,http://111.12.102.79:6610/PLTV/77777777/224/3221225684/index.m3u8?servicetype=1&IASHttpSessionId=OTT
农业致富,http://111.12.102.79:6610/PLTV/77777777/224/3221225687/index.m3u8?servicetype=1&IASHttpSessionId=OTT
中国功夫,http://111.12.102.79:6610/PLTV/77777777/224/3221225690/index.m3u8?servicetype=1&IASHttpSessionId=OTT
电视剧1,http://111.12.102.79:6610/PLTV/77777777/224/3221225698/index.m3u8?servicetype=1&IASHttpSessionId=OTT
动作电影,http://111.12.102.79:6610/PLTV/77777777/224/3221225703/index.m3u8?servicetype=1&IASHttpSessionId=OTT
古装剧场,http://111.12.102.79:6610/PLTV/77777777/224/3221225706/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CGTN,http://111.12.102.79:6610/PLTV/77777777/224/3221225707/index.m3u8?servicetype=1&IASHttpSessionId=OTT
电视剧2,http://111.12.102.79:6610/PLTV/77777777/224/3221225709/index.m3u8?servicetype=1&IASHttpSessionId=OTT
黑莓动画,http://111.12.102.79:6610/PLTV/77777777/224/3221225710/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育,#genre#
咪咕体育1,http://111.12.102.79:6610/PLTV/77777777/224/3221225771/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育2,http://111.12.102.79:6610/PLTV/77777777/224/3221225774/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育3,http://111.12.102.79:6610/PLTV/77777777/224/3221225777/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育4,http://111.12.102.79:6610/PLTV/77777777/224/3221225780/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育5,http://111.12.102.79:6610/PLTV/77777777/224/3221225783/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育6,http://111.12.102.79:6610/PLTV/77777777/224/3221225786/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育7,http://111.12.102.79:6610/PLTV/77777777/224/3221225792/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育8,http://111.12.102.79:6610/PLTV/77777777/224/3221225793/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育9,http://111.12.102.79:6610/PLTV/77777777/224/3221225796/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育10,http://111.12.102.79:6610/PLTV/77777777/224/3221225802/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育11,http://111.12.102.79:6610/PLTV/77777777/224/3221225799/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育12,http://111.12.102.79:6610/PLTV/77777777/224/3221225801/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育13,http://111.12.102.79:6610/PLTV/77777777/224/3221225805/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育14,http://111.12.102.79:6610/PLTV/77777777/224/3221225808/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育15,http://111.12.102.79:6610/PLTV/77777777/224/3221225811/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育16,http://111.12.102.79:6610/PLTV/77777777/224/3221225814/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育17,http://111.12.102.79:6610/PLTV/77777777/224/3221225820/index.m3u8?servicetype=1&IASHttpSessionId=OTT
咪咕体育18,http://111.12.102.79:6610/PLTV/77777777/224/3221225817/index.m3u8?servicetype=1&IASHttpSessionId=OTT
