吉林电信ᵛ𝟰,#genre#
黑龙江视山东,http://124.128.73.58:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视山东,http://124.128.73.58:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视山东,http://124.128.73.58:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视山东,http://124.128.73.58:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视山东,http://124.128.73.58:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视山东,http://124.128.73.58:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视山东,http://124.128.73.58:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视山东,http://124.128.73.58:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视山东,http://124.128.73.58:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视山东,http://124.128.73.58:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视山东,http://124.128.73.58:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视山东,http://124.128.73.58:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视山东,http://124.128.73.58:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0

岳阳联通,#genre#
新闻频道岳阳,http://110.52.244.53:9003//hls/30/index.m3u8
公共频道岳阳,http://110.52.244.53:9003//hls/31/index.m3u8
湖南爱晚岳阳,http://110.52.244.53:9003//hls/21/index.m3u8
湖南都市岳阳,http://110.52.244.53:9003//hls/22/index.m3u8
湖南电视岳阳,http://110.52.244.53:9003//hls/23/index.m3u8
湖南教育岳阳,http://110.52.244.53:9003//hls/28/index.m3u8
湖南经视岳阳,http://110.52.244.53:9003//hls/29/index.m3u8
湖南娱乐岳阳,http://110.52.244.53:9003//hls/26/index.m3u8
金鹰纪实岳阳,http://110.52.244.53:9003//hls/27/index.m3u8
金鹰卡通岳阳,http://110.52.244.53:9003//hls/25/index.m3u8
CCTV-01岳阳,http://110.52.244.53:9003//hls/1/index.m3u8
CCTV-02岳阳,http://110.52.244.53:9003//hls/2/index.m3u8
CCTV-03岳阳,http://110.52.244.53:9003//hls/3/index.m3u8
CCTV-04岳阳,http://110.52.244.53:9003//hls/4/index.m3u8
CCTV-05岳阳,http://110.52.244.53:9003//hls/5/index.m3u8
CCTV-5+岳阳,http://110.52.244.53:9003//hls/6/index.m3u8
CCTV-06岳阳,http://110.52.244.53:9003//hls/7/index.m3u8
CCTV-07岳阳,http://110.52.244.53:9003//hls/8/index.m3u8
CCTV-08岳阳,http://110.52.244.53:9003//hls/9/index.m3u8
CCTV-09岳阳,http://110.52.244.53:9003//hls/10/index.m3u8
CCTV-10岳阳,http://110.52.244.53:9003//hls/11/index.m3u8
